SID,LEVEL,WORD,POS
1,B1,absolutely,adverb
2,B1,academic,adjective
3,B1,access,noun
4,B1,account,noun
5,B1,achievement,noun
6,B1,act,noun
7,B1,ad,noun
8,B1,addition,noun
9,B1,administration,noun
10,B1,admire,verb
11,B1,admit,verb
12,B1,advanced,adjective
13,B1,advise,verb
14,B1,afford,verb
15,B1,age,verb
16,B1,agent,noun
17,B1,agreement,noun
18,B1,ahead,adverb
19,B1,aim,verb
20,B1,alarm,noun
21,B1,album,noun
22,B1,alcohol,noun
23,B1,alcoholic,adjective
24,B1,alternative,adjective
25,B1,amazed,adjective
26,B1,ambition,noun
27,B1,analysis,noun
28,B1,announce,verb
29,B1,announcement,noun
30,B1,annoy,verb
31,B1,annoyed,adjective
32,B1,annoying,adjective
33,B1,apart,adverb
34,B1,apologize,verb
35,B1,application,noun
36,B1,appointment,noun
37,B1,appreciate,verb
38,B1,approximately,adverb
39,B1,arrest,verb
40,B1,arrival,noun
41,B1,assignment,noun
42,B1,assist,verb
43,B1,atmosphere,noun
44,B1,attach,verb
45,B1,attitude,noun
46,B1,attract,verb
47,B1,attraction,noun
48,B1,authority,noun
49,B1,automatic,adjective
50,B1,automatically,adverb
51,B1,average,verb
52,B1,award,verb
53,B1,aware,adjective
54,B1,backward,adverb
55,B1,bake,verb
56,B1,balance,noun
57,B1,ban,verb
58,B1,bank,noun
59,B1,base,noun
60,B1,basic,adjective
61,B1,basis,noun
62,B1,battery,noun
63,B1,battle,noun
64,B1,beauty,noun
65,B1,bee,noun
66,B1,belief,noun
67,B1,bell,noun
68,B1,bend,verb
69,B1,benefit,verb
70,B1,better,noun
71,B1,bite,verb
72,B1,block,verb
73,B1,board,verb
74,B1,bomb,noun
75,B1,border,noun
76,B1,bother,verb
77,B1,branch,noun
78,B1,brand,noun
79,B1,brave,adjective
80,B1,breath,noun
81,B1,breathe,verb
82,B1,breathing,noun
83,B1,bride,noun
84,B1,bubble,noun
85,B1,bury,verb
86,B1,cable,noun
87,B1,calm,adjective
88,B1,campaign,noun
89,B1,candidate,noun
90,B1,cap,noun
91,B1,captain,noun
92,B1,careless,adjective
93,B1,category,noun
94,B1,ceiling,noun
95,B1,celebration,noun
96,B1,center,verb
97,B1,central,adjective
98,B1,ceremony,noun
99,B1,chain,noun
100,B1,challenge,noun
101,B1,champion,noun
102,B1,channel,noun
103,B1,chapter,noun
104,B1,charge,noun
105,B1,cheap,adverb
106,B1,cheat,verb
107,B1,cheerful,adjective
108,B1,chemical,adjective
109,B1,chest,noun
110,B1,childhood,noun
111,B1,claim,verb
112,B1,clause,noun
113,B1,clear,verb
114,B1,clever,adjective
115,B1,click,verb
116,B1,client,noun
117,B1,climb,noun
118,B1,close,adverb
119,B1,cloth,noun
120,B1,clue,noun
121,B1,coach,verb
122,B1,coal,noun
123,B1,coin,noun
124,B1,collection,noun
125,B1,colored,adjective
126,B1,combine,verb
127,B1,comment,verb
128,B1,commercial,adjective
129,B1,commit,verb
130,B1,communication,noun
131,B1,comparison,noun
132,B1,competitive,adjective
133,B1,competitor,noun
134,B1,complaint,noun
135,B1,complex,adjective
136,B1,concentrate,verb
137,B1,conclude,verb
138,B1,conclusion,noun
139,B1,confident,adjective
140,B1,confirm,verb
141,B1,confuse,verb
142,B1,confused,adjective
143,B1,connection,noun
144,B1,consequence,noun
145,B1,consist,verb
146,B1,consume,verb
147,B1,consumer,noun
148,B1,contact,noun
149,B1,container,noun
150,B1,content,noun
151,B1,continuous,adjective
152,B1,contrast,noun
153,B1,convenient,adjective
154,B1,convince,verb
155,B1,cool,verb
156,B1,corn,noun
157,B1,costume,noun
158,B1,cotton,noun
159,B1,count,noun
160,B1,countryside,noun
161,B1,court,noun
162,B1,cover,noun
163,B1,covered,adjective
164,B1,cream,adjective
165,B1,criminal,adjective
166,B1,cruel,adjective
167,B1,cultural,adjective
168,B1,cupboard,noun
169,B1,currency,noun
170,B1,current,adjective
171,B1,currently,adverb
172,B1,curtain,noun
173,B1,custom,noun
174,B1,cut,noun
175,B1,daily,adverb
176,B1,damage,noun
177,B1,deal,noun
178,B1,decade,noun
179,B1,deep,adverb
180,B1,define,verb
181,B1,definite,adjective
182,B1,definition,noun
183,B1,deliver,verb
184,B1,departure,noun
185,B1,destination,noun
186,B1,determine,verb
187,B1,determined,adjective
188,B1,development,noun
189,B1,diagram,noun
190,B1,diamond,noun
191,B1,difficulty,noun
192,B1,direct,verb
193,B1,directly,adverb
194,B1,dirt,noun
195,B1,disadvantage,noun
196,B1,disappointed,adjective
197,B1,disappointing,adjective
198,B1,discount,noun
199,B1,dislike,verb
200,B1,district,noun
201,B1,divide,verb
202,B1,documentary,noun
203,B1,donate,verb
204,B1,double,adverb
205,B1,doubt,noun
206,B1,dressed,adjective
207,B1,drop,noun
208,B1,drum,noun
209,B1,drunk,adjective
210,B1,due,adjective
211,B1,dust,noun
212,B1,duty,noun
213,B1,earthquake,noun
214,B1,eastern,adjective
215,B1,economic,adjective
216,B1,economy,noun
217,B1,edge,noun
218,B1,editor,noun
219,B1,educate,verb
220,B1,educated,adjective
221,B1,educational,adjective
